user_id,movie_id,rating,date,year,title
5,13,2.0,2003-01-21,2004,Eternal Sunshine of the Spotless Mind
5,2,4.0,2003-02-12,1994,The Shawshank Redemption
5,15,3.0,2003-02-20,2007,Ratatouille
5,16,3.0,2003-03-22,2009,Up
5,10,3.0,2003-04-06,2002,The Lord of the Rings: The Two Towers
5,4,3.0,2003-07-02,2008,The Dark Knight
5,9,3.0,2003-08-04,1997,Titanic
5,17,3.0,2003-08-19,1998,Saving Private Ryan
5,12,1.0,2003-09-02,2006,The Departed
5,11,2.0,2004-03-04,1993,Jurassic Park
10,10,4.0,2003-01-29,2002,The Lord of the Rings: The Two Towers
10,3,4.0,2003-03-01,2001,Spirited Away
10,18,3.0,2003-03-18,2005,Batman Begins
10,13,3.0,2003-05-17,2004,Eternal Sunshine of the Spotless Mind
10,11,4.0,2003-06-25,1993,Jurassic Park
10,9,2.0,2003-11-07,1997,Titanic
18,16,3.0,2003-02-03,2009,Up
18,14,3.0,2003-03-29,1991,The Silence of the Lambs
18,13,3.0,2003-04-08,2004,Eternal Sunshine of the Spotless Mind
18,3,4.0,2003-04-10,2001,Spirited Away
18,15,4.0,2003-06-08,2007,Ratatouille
18,17,2.0,2003-10-25,1998,Saving Private Ryan
21,18,5.0,2003-02-06,2005,Batman Begins
21,6,3.0,2003-04-03,1995,Toy Story
21,1,5.0,2003-04-08,1999,The Matrix
21,11,4.0,2003-06-15,1993,Jurassic Park
21,4,5.0,2003-06-30,2008,The Dark Knight
21,8,3.0,2003-07-17,2000,Gladiator
21,17,4.0,2003-11-09,1998,Saving Private Ryan
37,11,3.0,2003-03-11,1993,Jurassic Park
37,18,4.0,2003-04-18,2005,Batman Begins
37,16,5.0,2003-06-09,2009,Up
37,7,4.0,2003-06-19,2003,Finding Nemo
37,4,3.0,2003-07-01,2008,The Dark Knight
37,1,3.0,2003-07-17,1999,The Matrix
37,9,3.0,2003-09-13,1997,Titanic
6,18,4.0,2003-03-11,2005,Batman Begins
6,5,3.0,2003-04-14,2010,Inception
6,1,3.0,2003-04-23,1999,The Matrix
6,13,4.0,2003-05-31,2004,Eternal Sunshine of the Spotless Mind
6,2,4.0,2003-07-09,1994,The Shawshank Redemption
6,9,4.0,2003-09-02,1997,Titanic
6,17,3.0,2003-11-18,1998,Saving Private Ryan
6,3,4.0,2004-01-25,2001,Spirited Away
6,4,3.0,2004-02-03,2008,The Dark Knight
6,6,3.0,2004-06-13,1995,Toy Story
32,11,3.0,2003-04-07,1993,Jurassic Park
32,5,3.0,2003-04-28,2010,Inception
32,15,3.0,2003-06-06,2007,Ratatouille
32,17,4.0,2003-06-21,1998,Saving Private Ryan
32,7,4.0,2003-08-11,2003,Finding Nemo
32,13,4.0,2003-09-02,2004,Eternal Sunshine of the Spotless Mind
32,3,4.0,2003-11-17,2001,Spirited Away
28,7,3.0,2003-04-17,2003,Finding Nemo
28,11,3.0,2003-05-23,1993,Jurassic Park
28,1,3.0,2003-06-30,1999,The Matrix
28,3,4.0,2003-09-26,2001,Spirited Away
28,12,2.0,2003-11-07,2006,The Departed
28,14,3.0,2003-12-04,1991,The Silence of the Lambs
28,15,3.0,2003-12-08,2007,Ratatouille
28,5,3.0,2003-12-31,2010,Inception
28,17,2.0,2004-02-11,1998,Saving Private Ryan
28,8,3.0,2004-10-17,2000,Gladiator
13,13,5.0,2003-04-18,2004,Eternal Sunshine of the Spotless Mind
13,7,4.0,2003-05-19,2003,Finding Nemo
13,5,4.0,2003-05-22,2010,Inception
13,9,3.0,2003-09-05,1997,Titanic
13,15,5.0,2003-10-24,2007,Ratatouille
13,14,4.0,2003-10-24,1991,The Silence of the Lambs
13,12,3.0,2003-11-08,2006,The Departed
13,3,4.0,2003-11-26,2001,Spirited Away
13,8,4.0,2004-01-19,2000,Gladiator
13,10,4.0,2004-04-03,2002,The Lord of the Rings: The Two Towers
39,17,4.0,2003-04-27,1998,Saving Private Ryan
39,9,3.0,2003-06-02,1997,Titanic
39,11,3.0,2003-08-17,1993,Jurassic Park
39,13,4.0,2003-08-24,2004,Eternal Sunshine of the Spotless Mind
39,6,3.0,2003-10-04,1995,Toy Story
39,16,3.0,2003-10-12,2009,Up
39,8,4.0,2003-10-31,2000,Gladiator
39,14,4.0,2003-12-11,1991,The Silence of the Lambs
39,7,2.0,2004-01-24,2003,Finding Nemo
39,5,3.0,2004-03-22,2010,Inception
35,8,4.0,2003-05-26,2000,Gladiator
35,10,3.0,2003-06-16,2002,The Lord of the Rings: The Two Towers
35,6,4.0,2003-07-11,1995,Toy Story
35,5,4.0,2003-08-06,2010,Inception
35,4,3.0,2003-10-17,2008,The Dark Knight
35,17,5.0,2003-12-24,1998,Saving Private Ryan
35,12,3.0,2004-02-23,2006,The Departed
30,4,3.0,2003-06-28,2008,The Dark Knight
30,13,4.0,2003-07-30,2004,Eternal Sunshine of the Spotless Mind
30,9,3.0,2003-09-14,1997,Titanic
30,10,3.0,2003-11-19,2002,The Lord of the Rings: The Two Towers
30,12,3.0,2003-12-01,2006,The Departed
30,16,3.0,2004-01-26,2009,Up
31,4,4.0,2003-08-10,2008,The Dark Knight
31,17,3.0,2003-10-18,1998,Saving Private Ryan
31,15,3.0,2003-12-02,2007,Ratatouille
31,10,4.0,2004-01-04,2002,The Lord of the Rings: The Two Towers
31,18,4.0,2004-01-17,2005,Batman Begins
31,16,3.0,2004-02-06,2009,Up
38,2,4.0,2003-08-15,1994,The Shawshank Redemption
38,9,4.0,2003-09-30,1997,Titanic
38,13,3.0,2003-12-11,2004,Eternal Sunshine of the Spotless Mind
38,7,4.0,2004-02-11,2003,Finding Nemo
38,14,3.0,2004-03-06,1991,The Silence of the Lambs
38,17,3.0,2004-03-26,1998,Saving Private Ryan
38,5,4.0,2004-04-07,2010,Inception
38,4,3.0,2004-06-16,2008,The Dark Knight
38,1,4.0,2004-09-25,1999,The Matrix
38,15,4.0,2004-10-08,2007,Ratatouille
15,14,3.0,2003-09-03,1991,The Silence of the Lambs
15,13,2.0,2003-11-09,2004,Eternal Sunshine of the Spotless Mind
15,18,4.0,2003-12-10,2005,Batman Begins
15,7,4.0,2004-02-26,2003,Finding Nemo
15,2,3.0,2004-03-01,1994,The Shawshank Redemption
15,11,4.0,2004-03-10,1993,Jurassic Park
15,5,3.0,2004-05-16,2010,Inception
15,17,3.0,2004-05-28,1998,Saving Private Ryan
15,10,2.0,2004-07-14,2002,The Lord of the Rings: The Two Towers
15,3,3.0,2004-08-08,2001,Spirited Away
23,14,3.0,2003-09-11,1991,The Silence of the Lambs
23,15,4.0,2003-10-12,2007,Ratatouille
23,6,2.0,2003-12-24,1995,Toy Story
23,16,3.0,2004-01-01,2009,Up
23,17,4.0,2004-02-20,1998,Saving Private Ryan
23,11,4.0,2004-03-29,1993,Jurassic Park
23,10,2.0,2004-04-07,2002,The Lord of the Rings: The Two Towers
23,8,4.0,2004-05-03,2000,Gladiator
23,3,4.0,2004-06-27,2001,Spirited Away
23,5,3.0,2004-09-05,2010,Inception
25,17,3.0,2003-09-27,1998,Saving Private Ryan
25,8,3.0,2003-11-16,2000,Gladiator
25,4,4.0,2003-12-10,2008,The Dark Knight
25,10,3.0,2004-04-03,2002,The Lord of the Rings: The Two Towers
25,1,5.0,2004-04-30,1999,The Matrix
29,3,4.0,2003-10-09,2001,Spirited Away
29,4,4.0,2003-11-07,2008,The Dark Knight
29,5,3.0,2003-11-20,2010,Inception
29,7,4.0,2003-12-14,2003,Finding Nemo
29,12,5.0,2004-04-18,2006,The Departed
29,17,4.0,2004-04-30,1998,Saving Private Ryan
29,14,3.0,2004-05-12,1991,The Silence of the Lambs
29,2,4.0,2004-05-16,1994,The Shawshank Redemption
29,18,4.0,2004-08-19,2005,Batman Begins
29,13,3.0,2004-09-03,2004,Eternal Sunshine of the Spotless Mind
24,2,5.0,2003-10-15,1994,The Shawshank Redemption
24,18,4.0,2003-11-22,2005,Batman Begins
24,5,2.0,2003-11-24,2010,Inception
24,3,4.0,2004-02-03,2001,Spirited Away
24,12,5.0,2004-03-01,2006,The Departed
24,8,3.0,2004-04-08,2000,Gladiator
24,13,4.0,2004-04-27,2004,Eternal Sunshine of the Spotless Mind
24,15,4.0,2004-08-11,2007,Ratatouille
24,16,4.0,2004-10-19,2009,Up
9,14,3.0,2003-11-11,1991,The Silence of the Lambs
9,8,3.0,2003-12-03,2000,Gladiator
9,15,3.0,2004-01-10,2007,Ratatouille
9,18,3.0,2004-02-18,2005,Batman Begins
9,5,3.0,2004-02-25,2010,Inception
9,6,3.0,2004-04-03,1995,Toy Story
9,11,3.0,2004-05-29,1993,Jurassic Park
19,18,3.0,2003-11-17,2005,Batman Begins
19,9,3.0,2003-12-18,1997,Titanic
19,15,3.0,2004-01-12,2007,Ratatouille
19,4,4.0,2004-05-27,2008,The Dark Knight
19,11,3.0,2004-06-08,1993,Jurassic Park
7,5,4.0,2003-11-28,2010,Inception
7,10,3.0,2003-12-20,2002,The Lord of the Rings: The Two Towers
7,8,4.0,2004-03-03,2000,Gladiator
7,4,3.0,2004-03-21,2008,The Dark Knight
7,13,2.0,2004-05-31,2004,Eternal Sunshine of the Spotless Mind
7,11,3.0,2004-08-26,1993,Jurassic Park
33,10,4.0,2003-12-17,2002,The Lord of the Rings: The Two Towers
33,13,4.0,2004-01-26,2004,Eternal Sunshine of the Spotless Mind
33,2,4.0,2004-02-05,1994,The Shawshank Redemption
33,15,4.0,2004-02-15,2007,Ratatouille
33,7,4.0,2004-04-14,2003,Finding Nemo
33,3,5.0,2004-04-23,2001,Spirited Away
1,12,3.0,2003-12-20,2006,The Departed
1,11,4.0,2004-01-14,1993,Jurassic Park
1,7,3.0,2004-04-02,2003,Finding Nemo
1,17,5.0,2004-05-21,1998,Saving Private Ryan
1,3,4.0,2004-05-30,2001,Spirited Away
1,6,4.0,2004-06-19,1995,Toy Story
1,5,4.0,2004-07-07,2010,Inception
1,14,5.0,2004-09-05,1991,The Silence of the Lambs
1,16,4.0,2004-09-09,2009,Up
1,4,4.0,2004-10-15,2008,The Dark Knight
8,9,5.0,2004-01-06,1997,Titanic
8,5,3.0,2004-03-05,2010,Inception
8,1,4.0,2004-04-25,1999,The Matrix
8,10,2.0,2004-05-25,2002,The Lord of the Rings: The Two Towers
8,6,3.0,2004-06-22,1995,Toy Story
8,11,4.0,2004-07-07,1993,Jurassic Park
8,3,3.0,2004-07-16,2001,Spirited Away
8,18,3.0,2004-07-22,2005,Batman Begins
8,12,3.0,2004-12-01,2006,The Departed
8,16,3.0,2005-02-23,2009,Up
14,13,3.0,2004-01-07,2004,Eternal Sunshine of the Spotless Mind
14,16,3.0,2004-02-24,2009,Up
14,1,3.0,2004-04-18,1999,The Matrix
14,14,1.0,2004-05-15,1991,The Silence of the Lambs
14,10,4.0,2004-05-22,2002,The Lord of the Rings: The Two Towers
14,5,2.0,2004-10-03,2010,Inception
14,9,3.0,2004-10-15,1997,Titanic
14,15,3.0,2004-11-17,2007,Ratatouille
14,6,1.0,2004-12-02,1995,Toy Story
14,11,3.0,2005-04-19,1993,Jurassic Park
26,13,3.0,2004-01-11,2004,Eternal Sunshine of the Spotless Mind
26,18,3.0,2004-02-02,2005,Batman Begins
26,2,4.0,2004-02-18,1994,The Shawshank Redemption
26,4,4.0,2004-05-02,2008,The Dark Knight
26,1,3.0,2004-05-10,1999,The Matrix
26,14,4.0,2004-05-13,1991,The Silence of the Lambs
26,16,3.0,2004-05-30,2009,Up
26,3,3.0,2004-08-23,2001,Spirited Away
2,8,4.0,2004-02-20,2000,Gladiator
2,2,4.0,2004-04-18,1994,The Shawshank Redemption
2,12,5.0,2004-05-18,2006,The Departed
2,10,3.0,2004-06-07,2002,The Lord of the Rings: The Two Towers
2,9,3.0,2004-07-10,1997,Titanic
2,15,4.0,2004-10-07,2007,Ratatouille
2,17,4.0,2004-12-17,1998,Saving Private Ryan
2,11,2.0,2004-12-28,1993,Jurassic Park
2,16,4.0,2005-01-29,2009,Up
36,5,2.0,2004-02-26,2010,Inception
36,7,3.0,2004-03-26,2003,Finding Nemo
36,16,3.0,2004-04-06,2009,Up
36,2,3.0,2004-07-10,1994,The Shawshank Redemption
36,13,3.0,2004-07-20,2004,Eternal Sunshine of the Spotless Mind
36,3,4.0,2004-08-24,2001,Spirited Away
36,6,4.0,2004-10-07,1995,Toy Story
36,10,3.0,2004-10-17,2002,The Lord of the Rings: The Two Towers
36,9,4.0,2004-10-23,1997,Titanic
36,1,3.0,2004-11-24,1999,The Matrix
12,12,2.0,2004-03-17,2006,The Departed
12,16,3.0,2004-04-19,2009,Up
12,10,3.0,2004-06-13,2002,The Lord of the Rings: The Two Towers
12,11,3.0,2004-06-21,1993,Jurassic Park
12,4,3.0,2004-08-08,2008,The Dark Knight
12,8,4.0,2004-10-01,2000,Gladiator
12,6,3.0,2004-11-07,1995,Toy Story
12,9,3.0,2005-03-23,1997,Titanic
3,2,5.0,2004-04-14,1994,The Shawshank Redemption
3,11,3.0,2004-06-17,1993,Jurassic Park
3,16,3.0,2004-07-28,2009,Up
3,9,3.0,2004-08-07,1997,Titanic
3,12,3.0,2004-08-08,2006,The Departed
20,8,5.0,2004-05-22,2000,Gladiator
20,11,4.0,2004-07-07,1993,Jurassic Park
20,3,5.0,2004-07-16,2001,Spirited Away
20,5,3.0,2004-09-25,2010,Inception
20,14,3.0,2004-10-10,1991,The Silence of the Lambs
20,6,3.0,2004-12-12,1995,Toy Story
20,4,4.0,2005-02-11,2008,The Dark Knight
20,17,4.0,2005-05-17,1998,Saving Private Ryan
20,2,4.0,2005-08-25,1994,The Shawshank Redemption
20,12,4.0,2005-09-17,2006,The Departed
16,16,5.0,2004-07-02,2009,Up
16,5,4.0,2004-08-12,2010,Inception
16,15,4.0,2004-08-29,2007,Ratatouille
16,18,5.0,2004-11-04,2005,Batman Begins
16,4,4.0,2004-12-09,2008,The Dark Knight
16,6,3.0,2004-12-26,1995,Toy Story
40,17,2.0,2004-07-04,1998,Saving Private Ryan
40,5,4.0,2004-08-09,2010,Inception
40,14,4.0,2004-09-05,1991,The Silence of the Lambs
40,9,4.0,2004-09-29,1997,Titanic
40,3,4.0,2004-10-04,2001,Spirited Away
11,2,3.0,2004-07-10,1994,The Shawshank Redemption
11,16,2.0,2004-09-03,2009,Up
11,4,3.0,2004-10-06,2008,The Dark Knight
11,17,3.0,2004-10-17,1998,Saving Private Ryan
11,15,3.0,2004-12-21,2007,Ratatouille
27,15,2.0,2004-07-25,2007,Ratatouille
27,12,4.0,2004-09-23,2006,The Departed
27,14,5.0,2004-10-18,1991,The Silence of the Lambs
27,7,3.0,2004-12-02,2003,Finding Nemo
27,10,3.0,2004-12-04,2002,The Lord of the Rings: The Two Towers
4,17,3.0,2004-08-15,1998,Saving Private Ryan
4,10,4.0,2004-10-02,2002,The Lord of the Rings: The Two Towers
4,8,5.0,2004-10-17,2000,Gladiator
4,9,3.0,2004-11-23,1997,Titanic
4,7,4.0,2005-03-11,2003,Finding Nemo
4,2,3.0,2005-03-27,1994,The Shawshank Redemption
4,5,4.0,2005-05-12,2010,Inception
4,3,4.0,2005-06-23,2001,Spirited Away
17,1,4.0,2004-08-19,1999,The Matrix
17,18,5.0,2004-10-22,2005,Batman Begins
17,5,4.0,2004-12-03,2010,Inception
17,17,4.0,2004-12-20,1998,Saving Private Ryan
17,8,4.0,2004-12-23,2000,Gladiator
17,12,5.0,2005-01-10,2006,The Departed
17,2,5.0,2005-01-13,1994,The Shawshank Redemption
17,11,5.0,2005-01-16,1993,Jurassic Park
17,4,4.0,2005-07-18,2008,The Dark Knight
17,15,4.0,2005-07-21,2007,Ratatouille
34,6,3.0,2004-10-03,1995,Toy Story
34,9,4.0,2004-11-02,1997,Titanic
34,10,4.0,2004-11-08,2002,The Lord of the Rings: The Two Towers
34,3,4.0,2004-11-29,2001,Spirited Away
34,7,4.0,2005-01-23,2003,Finding Nemo
34,13,3.0,2005-03-04,2004,Eternal Sunshine of the Spotless Mind
34,11,4.0,2005-03-17,1993,Jurassic Park
34,8,2.0,2005-04-05,2000,Gladiator
34,16,5.0,2005-07-30,2009,Up
34,5,3.0,2005-11-12,2010,Inception
22,6,2.0,2004-11-19,1995,Toy Story
22,16,2.0,2005-01-21,2009,Up
22,18,3.0,2005-03-09,2005,Batman Begins
22,1,3.0,2005-03-10,1999,The Matrix
22,17,4.0,2005-05-10,1998,Saving Private Ryan
22,8,4.0,2005-05-30,2000,Gladiator
22,5,3.0,2005-06-07,2010,Inception
22,12,2.0,2005-06-27,2006,The Departed
22,15,4.0,2005-11-02,2007,Ratatouille
22,7,3.0,2005-12-02,2003,Finding Nemo
